,index,post_class,prob
12377,222,601,0.1
12391,596,601,0.1
12440,680,601,0.1
12458,578,601,0.1
12469,407,601,0.1
12479,273,601,0.1
12512,271,601,0.1
12516,68,601,0.1
12517,340,601,0.1
12521,892,601,0.1
12525,616,601,0.1
12540,538,601,0.1
12541,241,601,0.1
12551,2,601,0.1
12562,126,601,0.1
12564,73,601,0.1
12569,37,601,0.1
12593,523,601,0.1
12679,305,601,0.1
12701,921,601,0.1
12713,376,601,0.1
12727,199,601,0.1
12730,769,601,0.1
12742,658,601,0.1
12781,675,601,0.1
12812,219,601,0.1
13171,578,699,0.1
13230,340,699,0.1
13233,348,699,0.1
13274,75,699,0.1
13301,81,699,0.1
13304,524,699,0.1
13387,676,699,0.1
13389,798,699,0.1
13484,624,699,0.1
13489,708,699,0.1
13515,754,699,0.1
13532,229,699,0.1
13599,620,828,0.1
13652,373,828,0.1
13702,399,828,0.1
13740,801,828,0.1
13838,807,828,0.1
13853,357,828,0.1
13860,420,828,0.1
13891,868,828,0.1
13910,244,828,0.1
13914,320,828,0.1
13921,607,828,0.1
13937,767,828,0.1
13967,241,828,0.1
13970,576,828,0.1
13986,587,828,0.1
13993,454,828,0.1
14020,34,828,1.0
14076,637,828,0.1
14104,324,828,1.0
14126,458,828,1.0
14184,154,828,1.0
14191,617,828,1.0
14200,629,828,1.0
14209,765,828,1.0
14217,266,828,0.1
14225,283,828,0.1
14237,217,828,1.0
14241,689,828,0.1
14251,703,828,0.1
14578,584,359,0.1
14590,371,359,0.1
14602,871,359,0.1
14611,480,359,0.1
14616,354,359,0.1
14637,177,359,0.1
14658,284,359,0.1
14659,348,359,0.1
14675,39,359,0.1
14676,651,359,0.1
14705,543,359,1.0
14724,518,359,1.0
14797,777,359,1.0
14808,792,359,0.1
14821,890,359,0.1
14826,419,359,0.1
14874,436,359,0.1
14892,204,359,0.1
14962,698,359,0.1
14996,291,162,0.1
15312,667,162,0.1
15374,374,162,0.1
15375,544,162,0.1
15382,427,162,0.1
15383,701,162,0.1
15425,5,162,0.1
15437,518,162,1.0
15462,85,162,0.1
15479,130,162,0.1
15486,652,162,0.1
15494,275,162,0.1
15510,777,162,1.0
15535,415,162,0.1
15596,173,162,0.1
15602,668,162,0.1
15651,283,162,0.1
15655,755,162,0.1
15659,812,162,0.1
15671,229,162,0.1
15675,698,162,0.1
15721,78,291,0.1
16007,684,291,0.1
16032,722,291,0.1
16057,224,291,0.1
16234,792,291,0.1
16335,231,291,0.1
16398,460,291,0.1
16421,650,487,0.1
16717,584,487,0.1
16742,869,487,0.1
16854,49,487,0.1
16959,33,487,1.0
17053,163,487,1.0
17446,90,390,0.1
17515,697,390,0.1
17589,11,390,0.1
17606,847,390,0.1
17678,419,390,0.1
17706,583,390,0.1
17726,436,390,0.1
18141,797,403,0.1
18155,371,403,0.1
18159,90,403,0.1
18196,224,403,0.1
18202,177,403,0.1
18213,775,403,0.1
18277,5,403,0.1
18311,138,403,0.1
18314,85,403,0.1
18346,275,403,0.1
18365,743,403,0.1
18374,158,403,0.1
18380,798,403,0.1
18392,223,403,0.1
18448,173,403,0.1
18474,231,403,0.1
18492,470,403,0.1
18498,240,403,0.1
18695,530,475,0.1
18865,814,475,0.1
18874,152,475,0.1
18890,171,475,0.1
18947,427,475,0.1
18971,400,475,0.1
19031,514,475,1.0
19042,476,475,1.0
19129,355,475,1.0
19189,302,475,0.1
19504,69,398,0.1
19532,846,398,0.1
19537,316,398,0.1
19544,372,398,1.0
19550,922,398,0.1
19570,680,398,0.1
19599,407,398,0.1
19641,767,398,0.1
19648,751,398,0.1
19656,32,398,0.1
19671,241,398,0.1
19677,114,398,1.0
19681,2,398,0.1
19688,593,398,1.0
19711,82,398,0.1
19712,716,398,1.0
19735,388,398,1.0
19750,554,398,0.1
19768,326,398,0.1
19859,772,398,0.1
19863,178,398,0.1
20253,511,405,0.1
20294,371,405,0.1
20307,869,405,0.1
20315,480,405,0.1
20320,354,405,0.1
20352,775,405,0.1
20356,838,405,0.1
20365,374,405,0.1
20455,486,405,1.0
20525,890,405,0.1
20534,796,405,0.1
20588,663,405,0.1
20616,161,405,0.1
20629,516,405,1.0
20866,342,45,0.1
21063,311,45,0.1
21093,651,45,0.1
21095,811,45,0.1
21145,77,45,0.1
21222,800,45,0.1
21340,741,45,1.0
21651,899,440,0.1
21683,372,440,0.1
21696,357,440,0.1
21752,9,440,0.1
21759,586,440,0.1
21775,139,440,0.1
21778,775,440,0.1
21794,616,440,0.1
21798,455,440,0.1
21926,776,440,0.1
21936,315,440,0.1
21944,319,440,0.1
21949,429,440,0.1
21953,896,440,1.0
22025,639,440,0.1
22029,145,440,0.1
